Section,Midterm1,Midterm2,Final,HW1,HW2,HW3,Att1,Att2,Att3,Att4,Att5,Total.points
601,8,12,34,8.5,2.5,10,1,1,1,1,1,85
602,20,17,46,8,8,9,0,1,0,0,0,110
601,10,6,28,8.5,2.5,10,1,1,1,1,1,75
601,21,18,44,8.5,7.5,10,1,1,1,1,1,119
602,24,23,53,9.5,9.5,9.5,1,0,1,1,0,134.5
601,11,13,25,8,2,0,1,1,0,1,0,65
601,18,19,41,2,2.5,8,1,1,1,1,1,100.5
602,24,22,45,8,8,10,1,1,1,1,1,127
601,15,14,33,2.5,8.5,5,0,0,1,1,0,82
601,11,15,40,3,3,4,0,0,0,0,0,76
602,12,8,36,0,0,9.5,1,0,0,1,1,71.5
602,15,13,31,5.5,3,0.5,1,1,1,1,1,78
601,10,10,28,6,5.5,6,0,1,1,0,0,69.5
601,23,18,40,7,3.5,4.5,1,1,1,1,1,106
601,19,23,50,0,8.5,10,1,1,1,1,1,120.5
601,21,19,45,8,7,7,1,1,1,1,0,115
601,12,12,30,4,3.5,4.5,1,1,1,1,1,76
601,20,21,27,0,0,0,1,0,0,0,0,70
601,2,16,28,4.5,2,0,0,0,1,1,1,58.5
602,20,16,42,7,7,9.5,1,1,1,1,1,111.5
602,15,19,39,7,8,9,1,0,0,0,1,101
601,21,19,45,8,9.5,10,1,1,1,1,1,122.5
601,12,18,35,0,9.5,10,1,1,1,0,0,90.5
602,0,0,0,0,0,0,0,0,0,0,0,0
602,14,12,31,0,2,4.5,0,0,0,0,0,63.5
602,23,18,46,9,8,9,1,1,1,0,1,121
601,20,16,45,8,8.5,3,1,1,1,1,0,108.5
601,20,24,47,9.5,7.5,10,1,1,1,1,1,128
601,16,16,43,5,1.5,0,0,0,1,0,0,83.5
602,24,24,46,8.5,9.5,10,1,1,1,1,1,132
602,15,19,44,6,5,2,1,0,1,0,1,97
602,23,20,41,9,0,10,0,0,0,0,0,103
601,23,23,45,9.5,8,6.5,1,1,1,1,1,125
602,12,0,0,0,0,0,0,0,0,0,0,12
601,9,21,49,8,9.5,10,1,0,1,1,0,112.5
601,11,15,30,0,0,0,0,0,0,1,1,60
601,10,14,34,0,7.5,10,1,1,1,0,0,81.5
602,21,21,45,8,7,4.5,1,1,1,1,1,116.5
601,12,17,24,0,8,0,0,1,1,1,1,69
602,24,23,47,10,8.5,9.5,1,0,1,1,1,130
601,19,21,20,0,0,0,0,0,0,0,0,60
602,25,22,45,9.5,8,8.5,1,1,1,0,0,124
602,16,16,18,0,0,0,0,0,0,0,0,50
601,10,20,38,7,6.5,7,1,1,1,1,1,98.5
601,11,11,45,0,9.5,0,0,0,1,0,0,78.5
602,12,16,33,8,7.5,9,1,1,0,0,1,91.5
602,14,12,36,10,8,10,1,1,1,1,0,98
602,16,17,21,9,8,8,0,1,0,1,0,83
602,16,16,39,8,9,9.5,1,0,0,0,1,101.5
602,19,18,42,2.5,0,0,1,1,1,1,1,91.5
602,5,15,29,0,1,5,1,1,0,1,1,63
601,13,15,40,7.5,0.5,4,1,1,1,1,0,88
602,8,19,38,0,9,10,1,1,1,0,0,90
602,9,18,27,6.5,3,2.5,1,1,1,1,1,76
601,22,20,35,9,8.5,10,1,1,1,1,1,114.5
