"county.name","median.hhinc"
"Autauga, AL",62986
"Baldwin, AL",65091
"Barbour, AL",40998
"Bibb, AL",49671
"Blount, AL",55028
"Bullock, AL",43609
"Butler, AL",41486
"Calhoun, AL",50831
"Chambers, AL",41665
"Cherokee, AL",48348
"Chilton, AL",51001
"Choctaw, AL",39342
"Clarke, AL",44734
"Clay, AL",43909
"Cleburne, AL",46766
"Coffee, AL",55829
"Colbert, AL",50835
"Conecuh, AL",41397
"Coosa, AL",45162
"Covington, AL",45928
"Crenshaw, AL",45809
"Cullman, AL",51049
"Dale, AL",52048
"Dallas, AL",40237
"DeKalb, AL",45781
"Elmore, AL",62656
"Escambia, AL",43671
"Etowah, AL",48817
"Fayette, AL",42843
"Franklin, AL",44985
"Geneva, AL",42140
"Greene, AL",34818
"Hale, AL",38119
"Henry, AL",45852
"Houston, AL",57036
"Jackson, AL",44831
"Jefferson, AL",63818
"Lamar, AL",45745
"Lauderdale, AL",51299
"Lawrence, AL",49358
"Lee, AL",53200
"Limestone, AL",58542
"Lowndes, AL",43273
"Macon, AL",39606
"Madison, AL",72755
"Marengo, AL",42443
"Marion, AL",42434
"Marshall, AL",50566
"Mobile, AL",54264
"Monroe, AL",42892
"Montgomery, AL",61514
"Morgan, AL",56135
"Perry, AL",35854
"Pickens, AL",38349
"Pike, AL",43845
"Randolph, AL",49816
"Russell, AL",41817
"St. Clair, AL",57904
"Shelby, AL",87011
"Sumter, AL",32562
"Talladega, AL",46563
"Tallapoosa, AL",55323
"Tuscaloosa, AL",55804
"Walker, AL",49091
"Washington, AL",46137
"Wilcox, AL",33296
"Winston, AL",42241
"Aleutians East, AK",66298
"Aleutians West, AK",81581
"Anchorage, AK",87830
"Bethel, AK",67387
"Bristol Bay, AK",74416
"Denali, AK",77210
"Dillingham, AK",76112
"Fairbanks North Star, AK",78226
"Haines, AK",63216
"Hoonah-Angoon, AK",50474
"Juneau, AK",89329
"Kenai Peninsula, AK",68722
"Ketchikan Gateway, AK",67829
"Kodiak Island, AK",73525
"Lake and Peninsula, AK",53475
"Matanuska-Susitna, AK",76128
"Nome, AK",66839
"North Slope, AK",76066
"Northwest Arctic, AK",66619
"Petersburg, AK",69524
"Prince of Wales-Hyder, AK",57848
"Sitka, AK",74862
"Skagway, AK",87742
"Southeast Fairbanks, AK",69350
"Valdez-Cordova, AK",69691
"Wade Hampton, AK",46734
"Wrangell, AK",66358
"Yakutat, AK",78528
"Yukon-Koyukuk, AK",45892
"ARIZONA",67331
"Apache, AZ",38792
"Cochise, AZ",57505
"Coconino, AZ",62528
"Gila, AZ",47492
"Graham, AZ",48267
"Greenlee, AZ",53686
"La Paz, AZ",42951
"Maricopa, AZ",73917
"Mohave, AZ",52982
"Navajo, AZ",48104
"Pima, AZ",61700
"Pinal, AZ",59329
"Santa Cruz, AZ",52243
"Yavapai, AZ",59552
"Yuma, AZ",50321
"Arkansas, AR",48747
"Ashley, AR",45439
"Baxter, AR",45463
"Benton, AR",66853
"Boone, AR",48997
"Bradley, AR",38470
"Calhoun, AR",40817
"Carroll, AR",47134
"Chicot, AR",34520
"Clark, AR",43142
"Clay, AR",42015
"Cleburne, AR",49384
"Cleveland, AR",46454
"Columbia, AR",49915
"Conway, AR",47086
"Craighead, AR",54137
"Crawford, AR",49451
"Crittenden, AR",46473
"Cross, AR",46325
"Dallas, AR",39774
"Desha, AR",39119
"Drew, AR",44671
"Faulkner, AR",58774
"Franklin, AR",43097
"Fulton, AR",41122
"Garland, AR",52049
"Grant, AR",58346
"Greene, AR",44269
"Hempstead, AR",44412
"Hot Spring, AR",45238
"Howard, AR",49323
"Independence, AR",47528
"Izard, AR",40505
"Jackson, AR",38532
"Jefferson, AR",46974
"Johnson, AR",39656
"Lafayette, AR",42361
