@   SCF1  @
@   Adapted from Thad W. Mirer, "Economic Statistics and Econometrics" @
@   3d ed. (New York: Macmillan, 1995), pp. 17-22.                     @
@    V1 = identification number                              @
@    V2 = family size                                        @
@    V3 = education (years)                                  @
@    V4 = age (years)                                        @
@    V5 = experience (years)                                 @
@    V6 = annual number of months worked                     @
@    V7 = race (coded 1 if white, 2 if black)                @
@    V8 = region of residence (coded 1 if northeast,         @
@         2 if northcentral, 3 if south, 4 if west )         @
@    V9 = wage and salary earnings (in thousands of dollars) @
@   V10 = family income (in thousands of dollars)            @
@   V11 = wealth (in thousands of dollars)                   @
@   V12 = savings (in thousands of dollars)                  @

@ V1  V2    V3    V4    V5    V6  V7  V8     V9       V10      V11     V12 @

   1   4     2    40    33    12   2   3    1.920    1.920    0.470    0.030
   2   4     9    33    19    12   1   1   12.403   12.403    3.035    0.874
   3   2    17    31     9    12   1   4    5.926    6.396    2.200    0.370
   4   3     9    50    36    12   1   2    7.000    7.005   11.600    1.200
   5   4    12    28    11    12   1   3    6.990    6.990    0.300    0.275
   6   4    13    33    15    12   1   1    6.500    6.500    2.200    1.400
   7   5    17    36    14    12   1   3   26.000   26.007   11.991   31.599
   8   5    16    44    23    12   1   1   15.000   15.363   17.341    1.766
   9   5     9    48    34    12   2   3    5.699   14.999    9.852    3.984
  10   5    16    31    10    12   1   3    8.820    9.185    8.722    1.017
  11  10     9    41    27    12   1   4    7.000   10.600    0.616    1.004
  12   4    10    41    26    12   1   1    6.176   12.089   23.418    0.687
  13   7    11    36    20    12   1   2    6.200    6.254    7.600   -0.034
  14   5    14    31    12    12   1   3    5.800    9.010    0.358   -1.389
  15   5     7    27    15    12   1   2    6.217    6.217    0.108    1.000
  16   5     8    42    29    12   1   2    5.500    5.912    5.560    1.831
  17   4    12    28    11    11   1   1    4.800    4.800    0.970    0.613
  18   2     6    46    35    12   2   3    1.820    2.340    2.600    0.050
  19   3    12    47    30    12   1   4    4.558    7.832   31.867    0.013
  20   7     8    35    22    12   1   2    7.468    9.563    1.704    1.389
  21   3     9    41    27     9   1   1    6.600    7.600    4.820    0.602
  22   4    17    30     8    12   1   1   12.850   13.858   32.807    2.221
  23   6    12    38    21    12   1   1    5.800    5.802   10.305    1.588
  24   3    11    48    32    12   1   3    7.479   19.362   12.652    5.082
  25   3    10    36    21    12   1   1    5.700    8.000    7.631    1.846
  26   3    12    45    28    12   1   1   12.000   17.200   14.392    0.914
  27   6     8    44    31     6   1   1    3.578    4.091    6.649    2.483
  28   4    10    44    29    12   1   3    9.600    9.600    6.995    0.837
  29   3     3    46    38    12   1   3    3.686   10.425    9.138    1.274
  30   4    12    26     9    12   1   3    6.480    6.512    2.933   -0.275
  31   5    12    50    33    12   1   4    6.383    7.675   38.260    1.092
  32   4     8    46    33    11   1   1    5.610   12.418   12.661    1.157
  33   5     8    33    20    12   1   1    6.000    6.079    0.820    0.340
  34   4    12    41    24    12   1   2    6.300    6.979   21.286    0.373
  35   5    17    33    11    12   1   1   10.513   10.517    9.723    3.307
  36   4    12    41    24    12   1   2   30.000   30.996   95.187   10.668
  37   3    12    29    12    11   2   1    3.427    5.283    0.171    1.105
  38   9    11    27    11    12   1   2    8.500    8.511    3.105    3.500
  39   5    12    42    25    12   1   1   11.300   12.700    7.385    0.541
  40   5    16    39    18    12   1   3   16.960   16.770   16.049    3.020
  41   6    12    36    19    12   1   1    8.300    8.300    0.050    0.650
  42   4     8    34    21    12   1   2    5.375    5.375    4.464    0.989
  43   4    12    40    23    12   1   4    4.770    6.265    7.203    2.532
  44   4    12    37    20    12   1   2    4.320    8.520    9.145    6.120
  45   5    17    44    22    12   1   4   10.720   24.226   54.524   -2.749
  46   2     4    49    40    12   1   3    0.750    0.750    4.000    0.000
  47   5    12    33    16    12   1   4    7.310    7.356    6.800   -1.036
  48   6    14    36    17    12   1   3    9.000    9.000    6.890    1.351
  49   4    15    51    31    12   1   1   14.000   14.660   13.500   -1.150
  50   5    12    37    20    12   1   2    3.900    5.593    9.837   -0.248
  51   4    19    33     9    12   1   2   10.000   11.841   10.384    0.388
  52   4    14    39    20    12   1   3    7.200    7.700    6.842    1.157
  53   3    12    44    27    12   1   3    6.500   10.550    4.929    1.656
  54   4     7    50    38    12   1   2    8.000   13.700   34.124    3.959
  55   4    12    39    22    12   1   2    9.500   12.242   11.731    5.369
  56   6     7    46    34    12   1   2    6.000    7.803    5.695    1.405
  57   4    12    43    26    12   1   3    6.400    9.879   25.029    0.220
  58   6    11    40    24    12   2   3    5.190    9.154    0.600   -0.298
  59   2     9    40    26    12   1   3    4.548    7.067   45.105   -0.276
  60   8     7    39    27    12   1   2    4.860    4.496    8.511   -0.578
  61   6    10    34    19     6   2   4    2.736    4.636   20.205   -1.360
  62   4    10    32    17    12   2   4    6.000    9.003    4.727    5.277
  63   3    16    42    21    12   1   1    7.800   13.820    2.270    0.980
  64   2     8    52    39    12   1   4    6.163    8.891   18.916    2.637
